<start> albert jennings fountain served in the union army . <end>	<start> the birth date of the bbc comics character is charles elkin mathews . <end>
<start> bangalore in the state of karnataka , india is the location of the acharya institute of technology established in the year 2000 . the motto of the institute is nurturing excellence , the director is dr g p prabhukumar and the president is b m reddy . <end>	<start> the acharya institute of technology is located in bangalore , karnataka , india . its director is dr . g . p . prabhukumar and its president is b . m . reddy and the institute is affiliated with the visvesvaraya technological university in belgaum . <end>
<start> the novel aenir , which was written in english , was followed by above the veil which is from australia . <end>	<start> aenir is a novel written in english and was followed by above the veil . <end>
<start> baked alaska is served in the region of hong kong and known to be from the usa . the main ingredients are meringue , ice cream and sponge cake or christmas pudding . <end>	<start> baked alaska is from the region of hong kong and the main ingredients are meringue , ice cream and sponge cake or christmas pudding . the dish comes from the region of the u . s . the main ingredients are meringue , ice cream and sponge cake or christmas pudding . <end>
<start> julia morgan , the architect , was born in san francisco and some of her significant projects include asilomar conference grounds , the riverside art museum , hearst castle and asilomar state beach . <end>	<start> julia morgan was born in san francisco and designed several significant buildings including the asilomar state beach and the asilomar state beach . the riverside art musuem , and asilomar state beach . <end>
<start> george winkler was the architect of 320 south boston building . <end>	<start> the architect of 320 south boston building was george richard george building . <end>
<start> new jersey is a region served by the port authority of new york and new jersey . <end>	<start> the port authority of new york and new jersey serves the city of antwerp . <end>
<start> the manufacturer of the aston martin v8 is the aston martin . <end>	<start> the founder of the comics character . <end>
<start> william anders is an american who was born in british hong kong . he became a fighter pilot and later a member of the crew on apollo 8 . he retired on 1 september 1969 . <end>	<start> william anders was born in british hong kong on october 17th 1933 . he served as a fighter pilot and retired on september 1st , 1969 . <end>
<start> abradab who was born on november 12th 1978 is an artist for the band kaliber 44 and he is with rapper associated with magri . <end>	<start> alan shepard was born on march 15 , 1932 in wheeler , texas . he was a test pilot and was selected by nasa in 1963 . <end>
<start> the runway length of al taqaddum air base is 3684 . 0 . <end>	<start> the runway length at al taqaddum air base is 3684 . <end>
<start> the aidaluna has a top speed is 40 . 744 and is 252000 . 0 mms in length . <end>	<start> the manager of az alkmaar is robert a . m . and has a floor count of 50 . <end>
<start> gabor kubatov is the chairman of ferencvarosi tc . <end>	<start> the chairman of the chairman of amsterdam comics academy is dave laughlin . <end>
<start> buzz aldrin was born in glen ridge , new jersey , was part of apollo 11 and in 1963 graduated with a sc . d . from mit and is now retired . <end>	<start> buzz aldrin was born in glen ridge , new jersey and graduated from massachusetts institute of technology in 1963 with a doctorate in science . he was a crew member of apollo 11 and is now retired . <end>
<start> inaugurated on the 27th of july , 1932 , the ataturk monument izmir is located in turkey . the largest city is istanbul , and the capital is ankara . the country's president is ahmet davutoglu , and the currency is the turkish lira . <end>	<start> turkey's capital is ankara and the largest city is istanbul . the leader of turkey is ahmet davutoglu . the ataturk monument izmir is located in turkey . the capital of turkey is ankara and the currency is the turkish lira . <end>
<start> the acharya institute of technology is located in bangalore , india . it is affiliated with the visvesvaraya technological university and its directore is dr . g . p . prabhukumar . <end>	<start> the acharya institute of technology is affiliated with the visvesvaraya technological university in the city of bangalore in the state of karnataka which is affiliated with the visvesvaraya technological university . <end>
<start> anandiben patel was the leader of gujarat , india , where amdavad ni gufa is located . the leader of india's name is sumitra mahajan . <end>	<start> anandiben patel is the leader of india where amdavad ni gufa is located in ahmedabad . the leader of gujarat is sumitra mahajan . <end>
<start> the aston martin v8 , manufactured by aston martin , is related to the aston martin dbs and was succeeded by the aston martin vantage . its engine volume is 5 . 3 litres . and it is assembled at newport pagnell . <end>	<start> the director of the acharya institute of technology is robert a . m . and it was founded in 1904 and is dr . g . p . and the abbreviation of the institute of mobility and public and the institute is related to the school of management . <end>
<start> to the southeast of adams county , pennsylvania lies carroll county , maryland . <end>	<start> adams county pennsylvania is located to the southeast of franklin county , pennsylvania . <end>
